"trait","comp","diff","lwr.ci","upr.ci","pval","loc"
"Lignin","N_81-C_2012",0.678056401437416,-2.6970901701501,4.05320297302493,1,"WA"
"Lignin","N_82-C_2012",-0.764748965137201,-4.13989553672472,2.61039760645032,1,"WA"
"Lignin","N_83-C_2012",-0.390799587026876,-3.76594615861439,2.98434698456064,1,"WA"
"Lignin","N_84-C_2012",-1.283104531436,-4.65825110302352,2.09204204015152,0.999993074227401,"WA"
"Lignin","N_85-C_2012",-1.25582098548681,-4.63096755707432,2.11932558610071,0.999997180418754,"WA"
"Lignin","N_86-C_2012",-0.352343435226516,-3.72749000681403,3.022803136361,1,"WA"
"Lignin","N_87-C_2012",-0.166930195353757,-3.54207676694128,3.20821637623376,1,"WA"
"Lignin","N_88-C_2012",-0.499421950012845,-3.87456852160036,2.87572462157467,1,"WA"
"Lignin","N_89-C_2012",-0.0654655066291809,-3.4406120782167,3.30968106495834,1,"WA"
"Lignin","N_9-C_2012",-0.909473725622348,-4.28462029720987,2.46567284596517,0.999999999999998,"WA"
"Lignin","N_90-C_2012",-3.48773710743021,-6.86288367901772,-0.112590535842688,0.035039477655092,"WA"
"Lignin","N_91-C_2012",-3.54854846177039,-6.92369503335791,-0.173401890182876,0.0283742138285882,"WA"
"Lignin","N_92-C_2012",1.94402262060503,-1.43112395098249,5.31916919219254,0.863453188518891,"WA"
"Lignin","N_93-C_2012",-1.98651563445156,-5.36166220603908,1.38863093713595,0.831067091856761,"WA"
"Lignin","N_94-C_2012",-0.797725538508203,-4.17287211009572,2.57742103307932,1,"WA"
"Lignin","N_95-C_2012",-0.705116030093265,-4.08026260168078,2.67003054149425,1,"WA"
"Lignin","N_96-C_2012",1.19002231076344,-2.18512426082408,4.56516888235096,0.999999774871822,"WA"
"Lignin","N_97-C_2012",-0.350244923210397,-3.72539149479792,3.02490164837712,1,"WA"
"Lignin","N_98-C_2012",-1.14884553967411,-4.52399211126163,2.22630103191341,0.999999964631956,"WA"
"Lignin","N_99-C_2012",-1.33435350159516,-4.70950007318268,2.04079306999236,0.99996722936474,"WA"
"Mg","N_1-C_201",-0.00931995623578175,-3.38416626841778,3.36552635594622,1,"ID"
"Mg","N_10-C_201",-0.524763118811759,-3.89960943099376,2.85008319337024,1,"ID"
"Mg","N_100-C_201",0.168839563499787,-3.20600674868221,3.54368587568179,1,"ID"
"Mg","N_101-C_201",0.601505496270033,-2.77334081591197,3.97635180845203,1,"ID"
"Mg","N_102-C_201",0.39972076629055,-2.97512554589145,3.77456707847255,1,"ID"
"Mg","N_103-C_201",-2.03307902354937,-5.40792533573137,1.34176728863263,0.793418419356301,"ID"
"Mg","N_104-C_201",-0.449502734964721,-3.82434904714672,2.92534357721728,1,"ID"
"Mg","N_106-C_201",-0.156531170896113,-3.53137748307811,3.21831514128589,1,"ID"
"Mg","N_107-C_201",-0.700483401834983,-4.07532971401698,2.67436291034702,1,"ID"
"Mg","N_108-C_201",1.44129093787224,-1.93355537430976,4.81613725005424,0.999501838876777,"ID"
"Mg","N_109-C_201",-0.590107693613842,-3.96495400579584,2.78473861856816,1,"ID"
"Mg","N_11-C_201",-0.116149583717455,-3.49099589589945,3.25869672846454,1,"ID"
"Mg","N_110-C_201",-0.021103262172911,-3.39594957435491,3.35374305000909,1,"ID"
"Mg","N_111-C_201",-0.281462244550493,-3.65630855673249,3.09338406763151,1,"ID"
"Mg","N_112-C_201",-0.776921749849787,-4.15176806203179,2.59792456233221,1,"ID"
"Mg","N_113-C_201",-0.818848279929924,-4.19369459211192,2.55599803225208,1,"ID"
"Mg","N_114-C_201",0.861449543079015,-2.51339676910298,4.23629585526101,1,"ID"
"Mg","N_115-C_201",0.479552767779584,-2.89529354440242,3.85439907996158,1,"ID"
"Mg","N_116-C_201",-2.11558004028179,-5.49042635246379,1.25926627190021,0.723536956065772,"ID"
"Mg","N_117-C_201",0.144906191298571,-3.22994012088343,3.51975250348057,1,"ID"
"Mg","N_118-C_201",-0.897241080879688,-4.27208739306169,2.47760523130231,0.999999999999999,"ID"
"Mg","N_119-C_201",-0.644831419574441,-4.01967773175644,2.73001489260756,1,"ID"
"Mg","N_12-C_201",-1.36384532390047,-4.73869163608247,2.01100098828153,0.999919723398613,"ID"
"Mg","N_120-C_201",-1.34048196085498,-4.71532827303698,2.03436435132702,0.999957440920932,"ID"
"Mg","N_121-C_201",-0.661045615842166,-4.03589192802417,2.71380069633983,1,"ID"
"Mg","N_122-C_201",-0.86607100679899,-4.24091731898099,2.50877530538301,1,"ID"
"Mg","N_123-C_201",-0.502203821732405,-3.8770501339144,2.87264249044959,1,"ID"
"Mg","N_124-C_201",-1.17249803107634,-4.54734434325834,2.20234828110566,0.999999875601053,"ID"
"Mg","N_125-C_201",-0.816606177390089,-4.19145248957209,2.55824013479191,1,"ID"
"Mg","N_126-C_201",-0.101394280056098,-3.4762405922381,3.2734520321259,1,"ID"
"Mg","N_127-C_201",-1.00524741733661,-4.38009372951861,2.36959889484539,0.999999999991075,"ID"
"Mg","N_128-C_201",0.761520622930934,-2.61332568925106,4.13636693511293,1,"ID"
"Mg","N_129-C_201",-0.496977715628649,-3.87182402781065,2.87786859655335,1,"ID"
"Mg","N_13-C_201",-1.36509256977989,-4.73993888196189,2.00975374240211,0.999921141251439,"ID"
"Mg","N_130-C_201",-2.28600002572754,-5.66084633790954,1.08884628645446,0.575649719648395,"ID"
"Mg","N_131-C_201",0.976287807050895,-2.3985585051311,4.35113411923289,0.999999999999042,"ID"
"Mg","N_132-C_201",-0.529010667174017,-3.90385697935602,2.84583564500798,1,"ID"
"Mg","N_133-C_201",-2.2245832757838,-5.5994295879658,1.1502630363982,0.629633407138492,"ID"
"Mg","N_134-C_201",-0.874619467942605,-4.2494657801246,2.50022684423939,1,"ID"
"Mg","N_135-C_201",-0.891368968713838,-4.26621528089584,2.48347734346816,1,"ID"
"Mg","N_136-C_201",0.757360850961128,-2.61748546122087,4.13220716314313,1,"ID"
"Mg","N_137-C_201",-0.488956091722951,-3.86380240390495,2.88589022045905,1,"ID"
"Mg","N_138-C_201",-1.15833833319845,-4.53318464538045,2.21650797898355,0.999999944345901,"ID"
"Mg","N_139-C_201",0.0842540972139147,-3.29059221496808,3.45910040939591,1,"ID"
"Mg","N_14-C_201",-0.798306466878277,-4.17315277906028,2.57653984530372,1,"ID"
"Mg","N_140-C_201",0.119872324991075,-3.25497398719092,3.49471863717307,1,"ID"
"Mg","N_141-C_201",0.0442713177860377,-3.33057499439596,3.41911762996804,1,"ID"
"Mg","N_142-C_201",0.155144084377969,-3.21970222780403,3.52999039655997,1,"ID"
"Mg","N_143-C_201",-0.269732460869971,-3.64457877305197,3.10511385131203,1,"ID"
"Mg","N_144-C_201",-0.980246629597183,-4.35509294177918,2.39459968258482,0.999999999998538,"ID"
"Mg","N_145-C_201",-0.0768286116071053,-3.4516749237891,3.29801770057489,1,"ID"
"Mg","N_146-C_201",-1.01525177427662,-4.39009808645862,2.35959453790537,0.999999999983356,"ID"
"Mg","N_147-C_201",-0.409286657151931,-3.78413296933393,2.96555965503007,1,"ID"
"Mg","N_148-C_201",-1.24153307804234,-4.61637939022434,2.13331323413966,0.999998173928553,"ID"
"Mg","N_149-C_201",-0.429680350608027,-3.80452666279003,2.94516596157397,1,"ID"
"Mg","N_15-C_201",-0.865608452872664,-4.24045476505466,2.50923785930934,1,"ID"
"Mg","N_150-C_201",-0.459234893197401,-3.8340812053794,2.9156114189846,1,"ID"
"Mg","N_151-C_201",0.02411008933856,-3.35073622284344,3.39895640152056,1,"ID"
"Mg","N_152-C_201",-2.412712138006,-5.787558450188,0.962134174175995,0.470105894146127,"ID"
"Mg","N_153-C_201",-2.09880990716976,-5.47365621935175,1.27603640501224,0.739669227883139,"ID"
"Mg","N_154-C_201",-1.59839339326165,-4.97323970544365,1.77645291892035,0.993044474802291,"ID"
"Mg","N_155-C_201",-0.775078940793083,-4.14992525297508,2.59976737138892,1,"ID"
"Mg","N_156-C_201",-0.18265147006985,-3.55749778225185,3.19219484211215,1,"ID"
"Mg","N_157-C_201",0.0430295332647681,-3.33181677891723,3.41787584544677,1,"ID"
"Mg","N_158-C_201",-0.711350857612572,-4.08619716979457,2.66349545456943,1,"ID"
"Mg","N_159-C_201",-0.637624678856842,-4.01247099103884,2.73722163332516,1,"ID"
"Mg","N_16-C_201",-0.549939158492325,-3.92478547067432,2.82490715368967,1,"ID"
"Mg","N_160-C_201",-2.52445954219407,-5.89930585437607,0.85038676998793,0.384518636364626,"ID"
"Mg","N_161-C_201",-0.549899717798031,-3.92474602998003,2.82494659438397,1,"ID"
"Mg","N_162-C_201",-1.13426033308048,-4.50910664526248,2.24058597910152,0.99999997924678,"ID"
"Mg","N_163-C_201",-1.82867011352798,-5.20351642570998,1.54617619865402,0.930055402677654,"ID"
"Mg","N_164-C_201",-2.63860154918564,-6.01344786136764,0.736244762996355,0.30929068823849,"ID"
"Mg","N_165-C_201",-1.65474204693806,-5.02958835912006,1.72010426524394,0.98545171142116,"ID"
"Mg","N_166-C_201",-2.38739213348308,-5.76223844566507,0.987454178698924,0.487562291047539,"ID"
"Mg","N_167-C_201",-0.701923308652912,-4.07676962083491,2.67292300352909,1,"ID"
"Mg","N_168-C_201",0.331241714392473,-3.04360459778953,3.70608802657447,1,"ID"
"Mg","N_169-C_201",-4.57939565694327,-7.95424196912527,-1.20454934476127,0.000784837445587883,"ID"
"Mg","N_17-C_201",-0.55174056254674,-3.92658687472874,2.82310574963526,1,"ID"
"Mg","N_170-C_201",-1.95435810870194,-5.32920442088394,1.42048820348006,0.853782669249022,"ID"
"Mg","N_171-C_201",-1.28856554678071,-4.66341185896271,2.08628076540129,0.999990865612042,"ID"
"Mg","N_172-C_201",-1.10108085174774,-4.47592716392974,2.27376546043426,0.999999996873198,"ID"
"Mg","N_173-C_201",-0.872570844196957,-4.24741715637896,2.50227546798504,1,"ID"
"Mg","N_175-C_201",-1.04436756381721,-4.41921387599921,2.33047874836479,0.99999999986442,"ID"
"Mg","N_176-C_201",-0.0853447609045048,-3.4601910730865,3.28950155127749,1,"ID"
"Mg","N_177-C_201",-1.20226886141208,-4.57711517359408,2.17257745076992,0.999999578585747,"ID"
"Mg","N_178-C_201",-1.31697499213642,-4.69182130431841,2.05787132004558,0.999979405221809,"ID"
"Mg","N_179-C_201",-0.422527567666815,-3.79737387984881,2.95231874451518,1,"ID"
"Mg","N_18-C_201",1.37339786835001,-2.00144844383199,4.74824418053201,0.999897709389807,"ID"
"Mg","N_180-C_201",0.252821749058242,-3.12202456312376,3.62766806124024,1,"ID"
"Mg","N_181-C_201",-0.819502492355532,-4.19434880453753,2.55534381982647,1,"ID"
"Mg","N_182-C_201",-1.10675221916658,-4.48159853134858,2.26809409301542,0.999999995603858,"ID"
"Mg","N_183-C_201",-1.02756952988372,-4.40241584206572,2.34727678229828,0.99999999995919,"ID"
"Mg","N_184-C_201",-0.582631184323237,-3.95747749650524,2.79221512785876,1,"ID"
"Mg","N_185-C_201",0.196116776919812,-3.17872953526219,3.57096308910181,1,"ID"
"Mg","N_186-C_201",1.71797475320788,-1.65687155897412,5.09282106538988,0.971971747903683,"ID"
"Mg","N_187-C_201",0.990606636660004,-2.38423967552199,4.365452948842,0.99999999999714,"ID"
"Mg","N_188-C_201",-0.940315089677039,-4.31516140185904,2.43453122250496,0.999999999999949,"ID"
"Mg","N_189-C_201",-0.536564707643887,-3.91141101982589,2.83828160453811,1,"ID"
"Mg","N_19-C_201",0.148387032809179,-3.22645927937282,3.52323334499118,1,"ID"
"Mg","N_190-C_201",-1.81150442536622,-5.18635073754822,1.56334188681578,0.938514681074578,"ID"
"Mg","N_191-C_201",-1.73011610955156,-5.10496242173356,1.64473020263044,0.968580822986411,"ID"
"Mg","N_192-C_201",-1.92888003186386,-5.30372634404586,1.44596628031814,0.871767883547731,"ID"
"Mg","N_193-C_201",-0.922526637484641,-4.29737294966664,2.45231967469736,0.99999999999999,"ID"
"Mg","N_194-C_201",0.624993478448619,-2.74985283373338,3.99983979063062,1,"ID"
"Mg","N_195-C_201",0.0279442578069542,-3.34690205437504,3.40279056998895,1,"ID"
"Mg","N_196-C_201",-1.41908120159279,-4.79392751377478,1.95576511058921,0.999690691772926,"ID"
"Mg","N_197-C_201",1.2488062586909,-2.1260400534911,4.6236525708729,0.999997688577582,"ID"
"Mg","N_198-C_201",-0.728198887425236,-4.10304519960724,2.64664742475676,1,"ID"
"Mg","N_2-C_201",-0.355369350011092,-3.73021566219309,3.01947696217091,1,"ID"
"Mg","N_20-C_201",0.540985591651566,-2.83386072053043,3.91583190383357,1,"ID"
"Mg","N_21-C_201",0.311718342606174,-3.06312796957583,3.68656465478817,1,"ID"
"Mg","N_22-C_201",0.980841024012275,-2.39400528816972,4.35568733619427,0.999999999998222,"ID"
"Mg","N_23-C_201",0.430677157737311,-2.94416915444469,3.80552346991931,1,"ID"
"Mg","N_24-C_201",0.81824763731812,-2.55659867486388,4.19309394950012,1,"ID"
"Mg","N_25-C_201",0.217367485958125,-3.15747882622387,3.59221379814012,1,"ID"
"Mg","N_26-C_201",0.25972920642355,-3.11511710575845,3.63457551860555,1,"ID"
"Mg","N_27-C_201",-0.357057962665262,-3.73190427484726,3.01778834951674,1,"ID"
"Mg","N_28-C_201",-1.88824188430294,-5.26308819648494,1.48660442787906,0.897249665807085,"ID"
"Mg","N_29-C_201",-1.11006648498228,-4.48491279716428,2.26477982719972,0.99999999521659,"ID"
"Mg","N_3-C_201",-0.552113012093262,-3.92695932427526,2.82273330008874,1,"ID"
"Mg","N_30-C_201",0.294857324221187,-3.07998898796081,3.66970363640319,1,"ID"
"Mg","N_31-C_201",-0.438659174865389,-3.81350548704739,2.93618713731661,1,"ID"
"Mg","N_32-C_201",2.07244072528096,-1.30240558690104,5.44728703746296,0.760663651874514,"ID"
"Mg","N_33-C_201",0.732781723585806,-2.64206458859619,4.1076280357678,1,"ID"
"Mg","N_34-C_201",-0.811132468912394,-4.18597878109439,2.56371384326961,1,"ID"
"Mg","N_35-C_201",-0.624660002505014,-3.99950631468701,2.75018630967699,1,"ID"
"Mg","N_36-C_201",-1.64548042153784,-5.02032673371984,1.72936589064416,0.986976456709323,"ID"
"Mg","N_37-C_201",-0.900647597465163,-4.27549390964716,2.47419871471684,0.999999999999999,"ID"
"Mg","N_38-C_201",-0.79947504274158,-4.17432135492358,2.57537126944042,1,"ID"
"Mg","N_39-C_201",-1.17094185064061,-4.54578816282261,2.20390446154139,0.999999894236216,"ID"
"Mg","N_4-C_201",0.202035500276754,-3.17281081190525,3.57688181245875,1,"ID"
"Mg","N_40-C_201",-1.57414841728486,-4.94899472946686,1.80069789489714,0.994969199728299,"ID"
"Mg","N_41-C_201",-0.587493288062081,-3.96233960024408,2.78735302411992,1,"ID"
"Mg","N_42-C_201",-0.785085379456458,-4.15993169163846,2.58976093272554,1,"ID"
"Mg","N_43-C_201",-0.829796452985562,-4.20464276516756,2.54504985919644,1,"ID"
"Mg","N_44-C_201",-0.85671308875175,-4.23155940093375,2.51813322343025,1,"ID"
"Mg","N_45-C_201",0.472177886974787,-2.90266842520721,3.84702419915679,1,"ID"
"Mg","N_46-C_201",-0.180918983492862,-3.55576529567486,3.19392732868914,1,"ID"
"Mg","N_47-C_201",-0.904595088257079,-4.27944140043908,2.47025122392492,0.999999999999998,"ID"
"Mg","N_48-C_201",-0.553264944400482,-3.92811125658248,2.82158136778152,1,"ID"
"Mg","N_49-C_201",0.528028316428777,-2.84681799575322,3.90287462861078,1,"ID"
"Mg","N_5-C_201",0.276914078355514,-3.09793223382649,3.65176039053751,1,"ID"
"Mg","N_50-C_201",0.109263095586673,-3.26558321659533,3.48410940776867,1,"ID"
"Mg","N_51-C_201",-0.674931274528308,-4.04977758671031,2.69991503765369,1,"ID"
"Mg","N_52-C_201",-0.0231889071164915,-3.39803521929849,3.35165740506551,1,"ID"
"Mg","N_53-C_201",-0.35462493924128,-3.72947125142328,3.02022137294072,1,"ID"
"Mg","N_54-C_201",-0.853649755296082,-4.22849606747808,2.52119655688592,1,"ID"
"Mg","N_55-C_201",0.353347362877724,-3.02149894930428,3.72819367505972,1,"ID"
"Mg","N_56-C_201",1.17205340563077,-2.20279290655123,4.54689971781277,0.999999897695055,"ID"
"Mg","N_57-C_201",-0.964620153313302,-4.3394664654953,2.4102261588687,0.999999999999579,"ID"
"Mg","N_58-C_201",-1.51350074261893,-4.88834705480093,1.86134556956307,0.998044569580267,"ID"
"Mg","N_59-C_201",-1.89957064922303,-5.27441696140503,1.47527566295897,0.890651029183766,"ID"
"Mg","N_6-C_201",-0.634191687024273,-4.00903799920627,2.74065462515773,1,"ID"
"Mg","N_60-C_201",0.437422242105082,-2.93742407007692,3.81226855428708,1,"ID"
"Mg","N_61-C_201",-0.570156523798172,-3.94500283598017,2.80468978838383,1,"ID"
"Mg","N_62-C_201",-0.439416850830682,-3.81426316301268,2.93542946135132,1,"ID"
"Mg","N_63-C_201",0.0243052809493385,-3.35054103123266,3.39915159313134,1,"ID"
"Mg","N_64-C_201",-1.70986214557208,-5.08470845775408,1.66498416660992,0.973964453535328,"ID"
"Mg","N_65-C_201",0.350557187438405,-3.02428912474359,3.7254034996204,1,"ID"
"Mg","N_66-C_201",0.853704132153151,-2.52114218002885,4.22855044433515,1,"ID"
"Mg","N_67-C_201",-0.433291677300172,-3.80813798948217,2.94155463488183,1,"ID"
"Mg","N_68-C_201",2.23950720650929,-1.13533910567271,5.61435351869129,0.616354001498709,"ID"
"Mg","N_69-C_201",-1.13212851130501,-4.50697482348701,2.24271780087699,0.999999983087773,"ID"
"Mg","N_7-C_201",-0.697256591941002,-4.072102904123,2.677589720241,1,"ID"
"Mg","N_70-C_201",0.685778671062746,-2.68906764111925,4.06062498324474,1,"ID"
"Mg","N_71-C_201",0.951030267810328,-2.42381604437167,4.32587657999233,0.999999999999589,"ID"
"Mg","N_72-C_201",0.857534789971176,-2.51731152221082,4.23238110215317,1,"ID"
"Mg","N_73-C_201",0.441876162756277,-2.93297014942572,3.81672247493828,1,"ID"
"Mg","N_74-C_201",-0.8482152108528,-4.2230615230348,2.5266311013292,1,"ID"
"Mg","N_75-C_201",0.136123480393831,-3.23872283178817,3.51096979257583,1,"ID"
"Mg","N_76-C_201",-1.59674077829221,-4.97158709047421,1.77810553388979,0.993025811324888,"ID"
"Mg","N_77-C_201",-1.13535064160191,-4.51019695378391,2.23949567058009,0.999999975848635,"ID"
"Mg","N_78-C_201",-1.22265699601038,-4.59750330819238,2.15218931617162,0.999999162029707,"ID"
"Mg","N_79-C_201",-0.689125600286314,-4.06397191246831,2.68572071189569,1,"ID"
"Mg","N_8-C_201",1.28616080214417,-2.08868551003783,4.66100711432617,0.999991710549777,"ID"
"Mg","N_80-C_201",-0.843316281853937,-4.21816259403594,2.53153003032806,1,"ID"
"Mg","N_81-C_201",0.563727009846442,-2.81111930233556,3.93857332202844,1,"ID"
"Mg","N_82-C_201",-0.898982293657227,-4.27382860583923,2.47586401852477,0.999999999999998,"ID"
"Mg","N_83-C_201",-1.49394803585309,-4.86879434803509,1.88089827632891,0.99856768648428,"ID"
"Mg","N_84-C_201",2.37659689890954,-0.998249413272463,5.75144321109154,0.501429839076379,"ID"
"Mg","N_85-C_201",-2.53695494625727,-5.91180125843927,0.837891365924728,0.376413703792395,"ID"
"Mg","N_86-C_201",-1.27936043229645,-4.65420674447845,2.09548587988555,0.999993669755605,"ID"
"Mg","N_87-C_201",-0.876840322677381,-4.25168663485938,2.49800598950462,1,"ID"
"Mg","N_88-C_201",-0.648816734618432,-4.02366304680043,2.72602957756357,1,"ID"
"Mg","N_89-C_201",-0.852818876452655,-4.22766518863465,2.52202743572934,1,"ID"
"Mg","N_9-C_201",-0.720860751148368,-4.09570706333037,2.65398556103363,1,"ID"
"Mg","N_90-C_201",-0.113740039606309,-3.48858635178831,3.26110627257569,1,"ID"
"Mg","N_91-C_201",-1.22802213879084,-4.60286845097284,2.14682417339116,0.999998981278644,"ID"
"Mg","N_92-C_201",0.715266756463269,-2.65957955571873,4.09011306864527,1,"ID"
"Mg","N_93-C_201",-0.693785161194363,-4.06863147337636,2.68106115098764,1,"ID"
"Mg","N_94-C_201",-1.01197344129665,-4.38681975347865,2.36287287088535,0.999999999982285,"ID"
"Mg","N_95-C_201",0.707875938243177,-2.66697037393882,4.08272225042518,1,"ID"
"Mg","N_96-C_201",-1.11757088907219,-4.49241720125419,2.25727542310981,0.999999990438829,"ID"
"Mg","N_97-C_201",0.849327155911215,-2.52551915627078,4.22417346809321,1,"ID"
"Mg","N_98-C_201",0.545825075590098,-2.8290212365919,3.9206713877721,1,"ID"
"Mg","N_99-C_201",0.351153992490545,-3.02369231969145,3.72600030467254,1,"ID"
"Mg","N_1-C_2011",-1.37074970528649,-4.74599128132728,2.0044918707543,0.999913529680816,"OR"
"Mg","N_10-C_2011",-1.49951949121672,-4.87476106725751,1.87572208482407,0.998569933657605,"OR"
"Mg","N_100-C_2011",-1.82042247956507,-5.19566405560586,1.55481909647571,0.935687350162214,"OR"
"Mg","N_101-C_2011",-0.972661817712982,-4.34790339375377,2.40257975832781,0.999999999999472,"OR"
"Mg","N_102-C_2011",-1.78266469147762,-5.15790626751841,1.59257688456317,0.951551829293399,"OR"
"Mg","N_103-C_2011",-1.67232557836069,-5.04756715440148,1.7029159976801,0.982793301254254,"OR"
"Mg","N_104-C_2011",-2.88584006196348,-6.26108163800427,0.489401514077304,0.181761650458774,"OR"
"Mg","N_105-C_201",-2.84319285887661,-6.2184344349174,0.532048717164177,0.197978976860786,"OR"
"Mg","N_106-C_2011",-0.387334975640655,-3.76257655168144,2.98790660040013,1,"OR"
"Mg","N_107-C_2011",0.142872472690534,-3.23236910335025,3.51811404873132,1,"OR"
"Mg","N_108-C_2011",-1.1590223407572,-4.53426391679799,2.21621923528359,0.99999995116566,"OR"
"Mg","N_109-C_2011",0.209867099972634,-3.16537447606816,3.58510867601342,1,"OR"
"Mg","N_11-C_2011",-1.3877950908126,-4.76303666685338,1.98744648522819,0.99987160398792,"OR"
"Mg","N_110-C_2011",-2.19042109357883,-5.56566266961962,1.18482048246196,0.660958451656838,"OR"
"Mg","N_111-C_2011",-1.27319810496629,-4.64843968100708,2.1020434710745,0.999995236253494,"OR"
